"title","text","slug","image","altText","video","published","url"
"The Fitzwilliam Museum Annual Review 2016 ","This Review is a portrait of the life of the Fitzwilliam Museum in 2016. It celebrates and commemorates the work and achievements of the Museum, and shows it as an institution in robust health with exciting plans for the future.
","fitzwilliam-museum-annual-review-2016","http://www.fitzmuseum.cam.ac.uk/sites/default/files/styles/large/public/news/annual%20review%20picture.jpg?itok=tP-MSfvu",,,2017-11-14,"http://www.fitzmuseum.cam.ac.uk/news/fitzwilliam-museum-annual-review-2016"
"November late night opening ","The 'Late at the Fitzwilliam' will celebrate our Degas exhibition with a special talk from Richard Thomson, Watson Gordon Professor of Fine Art at the University of Edinburgh. Entitled, Degas: a Classicism of Movement, it will take place in Gallery 3 at 19.00.
Tickets for this talk cost £7 and are available through Cambridge Live Tickets website or tel: 01223 357851.
Also, drop-in and view the permanent collections and see our temporary exhibitions and displays including: Degas: A Passion for Perfection (with its two accompanying exhibitions),  The Guardian's exhibition of the week; Codebreakers and Groundbreakers, Terra Firma
and Sampled Lives: Samplers from the Fitzwilliam Museum.
The Shop will be open for late-night Christmas shopping until 20.45 and the Café will be serving main courses, wine, Prosecco and beers until 20.30 (orders for hot food close at 20.00).
Entry is through the Courtyard Entrance.
","november-late-night-opening","http://www.fitzmuseum.cam.ac.uk/sites/default/files/styles/large/public/news/Fitzwilliam%20Late.jpg?itok=WhM-BPpN",,,2017-11-07,"http://www.fitzmuseum.cam.ac.uk/news/november-late-night-opening"
"First research on Degas' only three wax models in UK ","The Fitzwilliam Museum owns the only sculptures in Britain actually made by Degas during his lifetime, three statuettes of nude dancers in different positions – ‘Dancer Bowing’, ‘Dancer with a Tambourine’ and ‘Arabesque over Right Leg, Left Arm in Front’ – all modelled in wax. The latter two poses are unique among his surviving sculptures. They were all made privately for himself and by himself, with the notable exception of his iconic ‘Little Dancer Aged Fourteen’, exhibited in 1881.
Degas is known to have been a highly unorthodox sculptor who used unconventional working practices in terms of materials and technique, frequently resulting in the deterioration and loss of his work. Of around 150 original sculptures discovered in his studio after his death in 1917, many crumbling into fragments, only around 70 were saved. Therefore, the trio of dancers in the Fitzwilliam, impressed with Degas's fingerprints, are extremely rare survivals by one of the most important and experimental artists of the nineteenth century, who died a century ago on 27 September.
For the first time, these autograph lifetime waxes have been technically investigated and analysed by conservators and conservation scientists at the Fitzwilliam Museum, University of Cambridge. Their findings reveal Degas modelled all three using pigmented beeswax over commercially-produced shop-bought iron armatures. He supported them with external metal ‘back-stands’ that he fixed to offcuts of wood, perhaps from old floorboards. Having bent the wire into the desired pose, he would often bulk out larger figures by adding a range of materials, including lightweight everyday domestic objects recycled from items he had lying around his studio. The new X-radiographs of the Fitzwilliam's ‘Dancer with a Tambourine’, suggest the fills in the head, chest and abdomen include wine-bottle corks.
After Degas’s death, many of his sculptures were repaired and his original supports altered. The Fitzwilliam's wax ‘Arabesque’ is one of the least altered of his surviving waxes and thought to best represent the sculpture as Degas intended. It is unusual in showing a young girl (rather than a mature woman) and experts think it may well be the very earliest surviving dancer sculpture by Degas. It has been related in type to the iconic ‘Little Dancer’. Recent technical investigation has revealed that this figure is modelled conventionally over a shop-bought armature wired to a shop-bought back-stand, a method that Degas is known to have moved on from in most of his other figurative sculpture, perhaps feeling constricted by their uniform sizing. 
These lifetime waxes are part of a larger group retrieved from Degas's studio in 1917 –  the vast majority of which are now in America, especially the National Gallery of Art (NGA), Washington,  – and used by the Hebrard foundry in Paris to cast all the posthumous limited-edition bronzes that are so well-known and loved in museums worldwide. The bronzes were all made after Degas's death, to maximise profit from his estate - something which Degas had actively resisted doing during his lifetime.  The lifetime sculptures in Washington were also recently X-radiographed by NGA colleagues, and these too show the presence of other everyday domestic objects – including paintbrushes, pencils and metal lids.
Degas produced his sculptures in highly experimental poses with an apparent disregard for their longevity, being motivated primarily by his obsessive pursuit of perfection. This meant that on occasion he would demolish an entire sculpture, declaring to his dealer 'I wouldn't take an entire bucket of gold for the pleasure I had in destroying it and starting all over again' - illustrating the rarity of the Fitzwilliam's surviving examples.
Victoria Avery, Keeper of Applied Arts at the Fitzwilliam Museum said, ‘Degas defied tradition as well as contemporary practice to resist having his sculpture cast in bronze. It is therefore deeply ironic that Degas’s fragile and deliberately ephemeral, one-of-a-kind sculptures are now best known from their durable bronze serial casts, displayed in public and private collections across the globe.’
Due to their light-sensitivity, the Fitzwilliam’s fragile waxes are very rarely on public display. However, all three wax sculptures and one of only two surviving documented lifetime plaster dancers will be displayed in the exhibition Degas: A Passion for Perfection opening at the Fitzwilliam Museum until Jan 14. This exhibition is designed to celebrate the genius of Degas one hundred years after his death and to highlight the extraordinarily diverse holdings of works by Degas at the Fitzwilliam.
","first-research-degas-only-three-wax-models-uk","http://www.fitzmuseum.cam.ac.uk/sites/default/files/styles/large/public/news/M6-1990_Arabesque_Xradiograph_JoDillon_CROP_small_1.jpg?itok=6tvU3Skx",,,2017-10-27,"http://www.fitzmuseum.cam.ac.uk/news/first-research-degas-only-three-wax-models-uk"
"New Alan Turing archives on show ","A science book that belonged to Alan Turing at Sherborne School, that he chose in honour of his close friend Christopher Morcom, will go on display for the first time amongst a host of other loans from the Turing Archive held at King's College, Cambridge, as part of a new exhibition 'Codebreakers and Groundbreakers' at the Fitzwilliam Museum.

Morcom introduced Turing to his favourite chemistry experiment, the ‘iodine clock reaction’ which the boys practiced together. Morcom was to die tragically at the age of eighteen. In his memory his parents established the 'Christopher Morcom Science Prize' at Sherborne School. Turing was the first recipient of this prize for performing the experiment shown to him by Morcom. Turing symbolically chose his prize to be a copy of the book 'Mathematical Recreations and Essays' by W. W. Rouse Ball, a Fellow of Trinity College; where Christopher was to have taken a place had he not died.

The book has influenced generations of mathematicians and the last chapter on codebreaking may have particularly intrigued a young Alan Turing. Turing's copy will go on show alongside other archive material which further reveals aspects of Turing's personality, other than as a codebreaker.

A school report from Sherborne School, Dorset, also on public display for the first time, shows Turing was a bright student, but sometimes struggled to see the value in subjects outside of maths and science, with his French teacher remarking, 'His proses have been very weak. Most of the mistakes are elementary and the result of hasty work'.  Physics was not much more positive, ' He has done some good work, but generally sets it down badly. He must remember that Cambridge will want sound knowledge rather than vague ideas'. Turing's ‘vague ideas’ would famously make the breaking of German Enigma possible, bringing World War II to an end much sooner than would have otherwise been possible, saving an untold number of lives.

Also on show is a teaspoon taken from Alan Turing's home after his death by his mother which she labelled, writing 'This is the spoon which I found in Alan's laboratory. It is similar to the one which he gold-plated himself. It seems quite probable that he was intending to gold plate this one using cyanide of potassium of his own manufacture. E. Sara Turing.’ Turing's mother never accepted the verdict of suicide that was recorded after his death, believing that it was an accidental consequence of scientific experiments carelessly conducted.

Letters displayed, one written by Turing to his mother during his time at Bletchley Park describe his sponsorship of two Jewish refugee boys. Turing and a friend at King's College, Fred Clayton, would pay to help the boys find refuge in Britain at the time Nazism was rising in Germany; in one picture shown they can all be seen in Sussex, sailing.

The material is one part of an pioneering interdisciplinary exhibition, Codebreakers & Groundbreakers, that will bring together for the first time two groups of 'Codebreakers' working at the same time, but independently: those who broke the Second World War codes and those who deciphered Linear B , Europe's earliest writing system.
","new-alan-turing-archives-show","http://www.fitzmuseum.cam.ac.uk/sites/default/files/styles/large/public/news/1929%20Summer%2C%20AMT%20School%20%20Report%20%28Sherborne%20School%20Archives%29.jpg?itok=6o4ZOksP",,,2017-10-27,"http://www.fitzmuseum.cam.ac.uk/news/new-alan-turing-archives-show"
"Road closures around the Museum for Sunday’s 10k run ","This Sunday 22 October the Cambridge Town and Gown 10k run will go through the city, with road closures starting at 8.00. If you are making your way to the Museum please be aware that surrounding roads may be closed, but the Museum remains open as usual from 12.00 – 17.00, with our free lunchtime music concert taking place at 13.15. For more information about affected roads please see the Cambridge Town and Gown website for road closures.
","road-closures-around-museum-sunday%E2%80%99s-10k-run","http://www.fitzmuseum.cam.ac.uk/sites/default/files/styles/large/public/news/MDUK%20-%20Oxford%20Town%20%26%20Gown%202016-319.jpg?itok=J5NlHCP7","Town and Gown 10k run",,2017-10-20,"http://www.fitzmuseum.cam.ac.uk/news/road-closures-around-museum-sunday%E2%80%99s-10k-run"
"October half term week at the Fitzwilliam ","Come and visit us this October half term and see our two new exhibitions: Degas: a passion for perfection, and Codebreakers and Groundbreakers (from 24 Oct).
Throughout half term visiting families can borrow drawing materials to sketch in the galleries or an activity kit from our reception desks: the Baby Play Mat for ages 0-2, Story Starters for ages 2-6 and Fitz Kits for ages 5-12.
New self-led guides for teens are also now available.  Each guide comes with the loan of a drawing kit, so you can find new interesting works of art, sketch in the galleries, and come up with ideas for artworks in your ‘studio’ at home.
Visitors of all ages are invited to join a one hour guided tour of the Museum every Saturday. Relax to music at our Sunday lunchtime concerts with music for piano (22 Oct) and music for clarinet and strings (29 Oct).
We hope you enjoy visiting the Museum this October half term. Don’t forget that our shop and café will also be open during opening hours.
 
 
","october-half-term-week-fitzwilliam","http://www.fitzmuseum.cam.ac.uk/sites/default/files/styles/large/public/news/saturday_4th_april_71_crop%20for%20web.jpg?itok=yYtOIXeC","Children in gallery",,2017-10-10,"http://www.fitzmuseum.cam.ac.uk/news/october-half-term-week-fitzwilliam"
"Saturday 9th September ","As part of their performances around Cambridge The Hertfordshire Holly Morris Dancers will be performing on the path outside the Courtyard entrance from about 10.45-11.15 on Saturday 9th September. To allow visitor access via this entrance there will be breaks in between their dances.
","saturday-9th-september","http://www.fitzmuseum.cam.ac.uk/sites/default/files/styles/large/public/Fitz_Portico_04_201407_dc1_1.jpg?itok=1QE5aMWK",,,2017-09-09,"http://www.fitzmuseum.cam.ac.uk/news/saturday-9th-september"
"Cancelled: Family Film Screening of The Jungle Book ","Due to adverse weather conditions, we regret to announce that this evening's Family Film Screening of The Jungle Book, due to take place from 7:30pm at the Fitzwilliam Museum, has been cancelled.
We would like to apologise for any inconvenience this cancellation may cause. The decision has been made to take into account the comfort and safety of all of our visitors, volunteers and staff. 
","cancelled-family-film-screening-jungle-book","http://www.fitzmuseum.cam.ac.uk/sites/default/files/styles/large/public/news/Tiger2.jpg?itok=OgjTFxOC",,,2017-09-08,"http://www.fitzmuseum.cam.ac.uk/news/cancelled-family-film-screening-jungle-book"
"Fitzwilliam revealed as most popular free attraction in the region ","Visit England have announced their annual list of the most popular visitor attractions in the country for 2016. The survey, which gathered information from more than 1,500 English attractions named the Fitzwilliam Museum as the most visited free attraction in the East of England. The results are complied by Visit England into a national list of 20 and is also broken down into all regions, to see their full announcement click here.
This accolade comes shortly after the museum announced that they had welcomed their highest number of visitors on record for the bicentennial year in 2016.
 
 
","fitzwilliam-revealed-most-popular-free-attraction-region","http://www.fitzmuseum.cam.ac.uk/sites/default/files/styles/large/public/news/Fitz_Portico_02_201407_dc1.jpg?itok=cu-0ZyvA",,"

        Celebrating 200 years of the Fitzwilliam Museum
    
  
  
    
  Video of Celebrating 200 years of the Fitzwilliam Museum

  

  
",2017-08-03,"http://www.fitzmuseum.cam.ac.uk/news/fitzwilliam-revealed-most-popular-free-attraction-region"
"Summer holidays at the Fitzwilliam ","The summer holidays are starting at the Fitzwilliam Museum with free activities and guides for families and young people.
It all kicks off on Tuesday 01 August with the annual Family Art Week on the lawns of the Fitzwilliam Museum.  Activities for families will focus around the theme of India, as part of the University of Cambridge Museums' India Unboxed and Summer at the Museums programmes. During the week try out a different India inspired art activity each day, henna tattoos, family tours and performances of Indian dance, music and stories. 
Family Art Week is happening from Tuesday 01 to Friday 04 August from 11am to 3pm each day.
For young people the Museum has been working with its regular young people’s art groups to create a new set of self-led guides for teens.  Each guide comes with the loan of a drawing kit, so you can find new interesting works of art, sketch in the galleries, and come up with ideas for artworks in your ‘studio’ at home.
Throughout the holidays visiting families can borrow drawing materials to sketch in the galleries or an activity kit from our reception desks: the Baby Play Mat for ages 0-2, Story Starters for ages 2-6 and Fitz Kits for ages 5-12.
","summer-holidays-fitzwilliam","http://www.fitzmuseum.cam.ac.uk/sites/default/files/styles/large/public/news/Family%20art%20week.jpg?itok=FWDFHaqU","Family art week 2016",,2017-07-25,"http://www.fitzmuseum.cam.ac.uk/news/summer-holidays-fitzwilliam"
"Road closures around the Museum for Sunday’s Race for Life  ","This Sunday 16 July the Race for Life will go through Cambridge from 11.00 – 14.00, with road closures starting at 8.00. If you are making your way to the Museum please be aware that surrounding roads may be closed, but the Museum remains open as usual from 12.00 – 17.00, with our free lunchtime music concert taking place at 13.15. For more information about affected roads please see Cambridge Bid’s Race for Life road closures
","road-closures-around-museum-sunday%E2%80%99s-race-life","http://www.fitzmuseum.cam.ac.uk/sites/default/files/styles/large/public/news/race%20for%20life.jpg?itok=BunodJ08","Race for Life",,2017-07-12,"http://www.fitzmuseum.cam.ac.uk/news/road-closures-around-museum-sunday%E2%80%99s-race-life"
"Forthcoming exhibition, Degas: 'A Passion for Perfection' 3 October 2017 – 14 January 2018. ","
In the centenary year of the artist’s death, the Fitzwilliam Museum will stage a major exhibition of its wide-ranging holdings of works by Edgar Degas (1834-1917), the most extensive and representative in the UK. 
The Museum’s collections will be complemented by an outstanding group of over fifty loans from private and public collections throughout Europe and the United States, several of which will be on public display for the first time. These include a group of paintings and drawings once belonging to the economist John Maynard Keynes, bought directly in 1918 and 1919 from Degas's posthumous studio sales in Paris, against a backdrop of German bombardment during World War I.
The remarkable breadth of works on display will include paintings, sculpture, drawings, pastels, etchings, monotypes, counterproofs and letters – some business-like, some heart-rending – written by Degas to friends and associates. Prominent in the exhibition will be Degas’s work in three dimensions: posthumous bronze casts of dancers, horses and nudes, but also exceptionally rare lifetime sculptures in plaster and wax. 
The exhibition will show that Degas’s relentless experimentation with technical procedures was a defining characteristic of his art. Abhorring complacency, Degas habitually revisited and reworked compositions and even individual poses, as if to mine the infinite possibilities of a given subject. ‘It is essential to do the same subject over again, ten times, one hundred times,’ Degas believed, ‘nothing should be left to chance’. Was he driven by ‘a passion for perfection’, as one acquaintance claimed? Or can his resistance to closure be considered to be a marker of his modernity?
Read the full press release here.
 
Image: Edgar Degas (1834-1917), At the Café, c.1875 – 7 (detail) © The Fitzwilliam Museum
 
 
 
","forthcoming-exhibition-degas-passion-perfection-3-october-2017-%E2%80%93-14-january-2018","http://www.fitzmuseum.cam.ac.uk/sites/default/files/styles/large/public/news/Homepage%20image.jpg?itok=9kXmbl8R","Cafe painting by Degas",,2017-07-07,"http://www.fitzmuseum.cam.ac.uk/news/forthcoming-exhibition-degas-passion-perfection-3-october-2017-%E2%80%93-14-january-2018"
"Cambridge museums recognised with substantial Arts Council England funding ","Cambridge’s reputation as a centre of excellence for museums and culture in the UK received a vital boost today when Arts Council England (ACE) awarded University of Cambridge Museums (UCM) more than £4.8m and National Portfolio Organisation status from 2018-2022.
The Fitzwilliam Museum is part of UCM, also comprising the Museum of Archaeology & Anthropology, the Museum of Zoology, the Museum of Classical Archaeology, the Whipple Museum of the History of Science, the Sedgwick Museum of Earth Sciences, The Polar Museum and Cambridge University Botanic Garden.
Kettle’s Yard, who work in partnership with UCM, has also been awarded £1,163,028 as part of ACE’s National Portfolio, further enhancing the role of the University’s Museums and Botanic Garden as the largest cultural provider in the region.
Read the full story on the UCM blog.
","cambridge-museums-recognised-substantial-arts-council-england-funding","http://www.fitzmuseum.cam.ac.uk/sites/default/files/styles/large/public/news/Martin%20bond%20Twilight_0.jpg?itok=cgKuhInB","Twilight at the Museums © Martin Bond",,2017-06-27,"http://www.fitzmuseum.cam.ac.uk/news/cambridge-museums-recognised-substantial-arts-council-england-funding"
"New acquisition celebrated with guest speaker from the Musée d’Orsay, Paris ","To commemorate its recent bicentenary year, the Fitzwilliam Museum acquired a newly discovered portrait by Jean-Léon Gérôme (1824-1904).
Gérôme was one of the great French painters of the 19th century. The world’s foremost expert on Gérôme, Edouard Papet, the Musée d’Orsay’s Senior Curator for Sculpture, is giving a talk on the artist and his works on Friday 30 June.  Visitors will be able to view the portrait on display in the Impressionist Gallery and speak with curators at the event. 
The picture had remained in the artist’s collection until his death in 1904 and was thought lost until its reappearance at auction in France in 2013. Recent cleaning has confirmed it as a masterpiece.
The dramatic full-length 'swagger-portrait' is of Claude-Armand Gérôme, (1827-50) the artist's younger brother. A very personal work by the artist from the early prime of his career, it was exhibited at the 1848 Salon in Paris. The portrait earned Gérôme a Second Class medal, helping to consolidate his standing as one of the foremost artists of his time. His brother, Claude-Armand would tragically die of meningitis two years later. 
The acquisition of the Portrait of Claude-Armand Gérôme was made possible through the generosity of The Art Fund and a number of other generous foundations and individuals.
For more information and tickets for the event with Edouard Papet, Jean-Léon Gérôme: A certain taste for archaeology, click here.
","new-acquisition-celebrated-guest-speaker-mus%C3%A9e-d%E2%80%99orsay-paris","http://www.fitzmuseum.cam.ac.uk/sites/default/files/styles/large/public/news/Gerome%20Portrait.jpg?itok=iLdD1j-W","Portrait of Claude-Armand Gérôme",,2017-06-14,"http://www.fitzmuseum.cam.ac.uk/news/new-acquisition-celebrated-guest-speaker-mus%C3%A9e-d%E2%80%99orsay-paris"
